nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Paviliun 1 Vip Cilandak Jakarta Selatan,2800000,15.0,1.1665405586419777,campur,1,1,1,1,1,0,1,1
Kost Neoma Residence Superior Cilandak Jakarta Selatan,2800000,9.0,1.7133117578805916,putri,1,0,1,1,1,0,1,0
Kost The View Le Blus Cilandak Jakarta Selatan,3500000,12.0,0.7314613347717743,campur,1,1,1,1,1,1,1,1
Kost Mooi Tipe A Cilandak Jakarta Selatan,3000000,12.0,2.8155662925710496,campur,1,0,0,1,1,1,1,1
Kost Yanti Dekat MRT Lebak Bulus Executive Cilandak Jakarta Selatan,2750000,12.0,0.8933144060970202,campur,1,1,1,1,1,0,0,1
Kost Vera Haji Nawi Double Bed Cilandak Jakarta Selatan,2750000,12.0,2.588154858472258,putri,1,1,0,1,1,0,1,0
Kost Casa Biru Tipe A 2 Cilandak Jakarta Selatan,2750000,9.0,2.154855396554625,putri,1,0,1,1,1,0,1,0
Kost Casa Biru Type A1 Cilandak Barat Jakarta Selatan,2750000,9.0,2.1428639155054787,putri,1,0,1,0,1,0,1,1
Kost JS Pondok Pinang Tipe C Kebayoran Lama Jakarta Selatan,2750000,14.72,0.9523075175059592,campur,1,1,0,1,1,0,0,0
Kost 98 Tipe Deluxe Cilandak Jakarta Selatan,2750000,12.0,1.7764465654888282,campur,1,1,1,1,1,0,1,0
Kost House Of Yulia Pavilion A Cilandak Jakarta Selatan,2750000,33.0,2.794056757265623,campur,1,1,0,0,1,0,0,0
Kost Yunus Residence Tipe B Cilandak Jakarta Selatan,2750000,12.0,2.371080966541309,campur,1,1,1,1,1,1,1,0
Kost Singgahsini Lebak Bulus 04 Tipe A Cilandak Jakarta Selatan,2725000,15.96,1.4294423628277853,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Wahyu Residence Tipe A Fatmawati Jakarta Selatan,2725000,10.89,2.34272718291713,campur,1,1,1,1,1,0,1,0
Kost Fatmawati 1 Cilandak Jakarta Selatan,3000000,30.0,2.655973854948384,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Casa 34 Tipe E Cilandak Jakarta Selatan,2725000,10.0,1.9896756459214435,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Dyra Tipe B Kebayoran Lama Jakarta Selatan,2725000,25.0,0.5346261125374896,putri,1,1,0,1,1,1,0,1
Kost Lebak Bulus Gunung Balong Tipe K Cilandak Jakarta Selatan,2700000,30.0,1.9270991742116328,campur,1,1,1,1,1,0,1,1
Kost Drom Cozy Home Tipe A Cilandak Jakarta Selatan,2700000,9.0,1.2426659218189766,campur,1,1,1,1,1,0,1,1
