nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Zam Zam Life Kelapa Gading Jakarta Utara,1800000,9.0,1.4929862054193672,putri,1,1,0,1,1,0,1,0
Kost Mami Anna Kelapa Gading Jakarta Utara,2000000,9.0,0.4320481050666597,campur,1,1,1,1,1,0,1,1
Kost Gading Pavillion Tipe A Kelapa Gading Jakarta Utara,2100000,12.0,1.023006918854571,putri,1,1,1,1,1,0,0,1
Kost Sawit Residence Kelapa Gading Jakarta Utara,1700000,9.0,1.699014675896056,campur,1,1,0,0,1,0,0,0
Kost Joyo Premium Tipe B Kelapa Gading Jakarta Utara,2250000,9.0,1.5999162163339558,campur,1,1,1,1,1,0,1,1
Kost Asya Tipe A Kelapa Gading Jakarta Utara,1550000,6.0,0.7377938084738008,campur,1,0,1,1,1,0,0,0
Kost Blessing Tipe A Kelapa Gading Jakarta Utara,1550000,9.0,0.5350842370716431,putri,1,1,1,1,1,0,0,0
Kost Chrysant Home BQ Tipe A Kelapa Gading Jakarta Utara,1649000,6.0,1.2063904483365904,campur,1,0,0,1,1,0,0,1
Kost Chrysant Home BQ Tipe B1 Kelapa Gading Jakarta Utara,1100000,6.25,1.2028551050547125,campur,1,0,0,1,1,0,0,1
Kost Singgahsini Victory Tipe A Kelapa Gading Jakarta Utara,2500000,10.240000000000002,0.8246056260469747,putri,1,1,1,1,1,0,1,0
Kost Premium Gading Putih Tipe 1 Kelapa Gading Jakarta Utara,2100000,11.61,1.5731559686524317,campur,1,1,1,1,1,0,0,1
Kost Kelapa Puan Timur Tipe B Kelapa Gading Jakarta Utara,695000,5.0,1.0610482502859753,putri,1,0,0,1,1,1,0,1
Kost Chrysant Home BR1 Tipe A Kelapa Gading Jakarta Utara,1000000,4.0,1.3317461053473618,campur,1,0,0,1,1,0,0,1
Kost Renata Tipe A Kelapa Gading Jakarta Utara,2500000,16.0,0.9534932919550214,campur,1,1,1,1,1,0,1,1
Kost Chrysant Home Tipe A Kelapa Gading Jakarta Utara,950000,4.0,1.7898717912263615,campur,1,0,0,1,1,0,0,1
