nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost The Agora Benhil Tipe A Tanah Abang Jakarta Pusat,4500000,16.0,1.879012612350806,putri,1,1,1,1,1,0,1,1
Kost Anthonius Menteng Jakarta Pusat,900000,6.0,1.4470265808427378,campur,1,0,0,1,1,1,0,1
Kost Penjernihan 31 Executive Tanah Abang Jakarta Pusat,2500000,12.0,1.361341430752068,putri,1,1,1,1,1,0,1,1
Kost E16 Residence Tipe Suite Setiabudi Jakarta Selatan,4000000,12.0,1.53595626259164,campur,1,1,1,1,1,0,1,1
Kost Kebon Kacang 1 Tanah Abang Jakarta Pusat,1999999,12.0,0.7213817858642948,campur,1,1,1,1,1,0,0,1
Kost Wisma Yusida Tanah Abang Jakarta Pusat,2500000,16.0,0.6143183557164686,campur,1,1,0,1,1,0,0,0
Kost The Agora Pejompongan Tipe Suites Tanah Abang Jakarta Pusat,4500000,15.75,2.0944802888482714,putri,1,1,1,1,1,0,1,1
Kost Heirs Residence Setiabudi Jakarta Selatan,3300000,12.0,2.149159811016399,campur,1,1,1,1,1,0,0,1
Kost Ogura Benhil Tipe Deluxe Room Tanah Abang Jakarta Pusat,3700000,15.0,1.8808890746327245,campur,1,1,1,1,1,0,0,1
Kost Dedy Tipe A Senen Jakarta Pusat,1600000,9.0,2.509009629689733,campur,1,1,0,1,1,1,0,1
Kost DENLI Tanah Abang Jakarta Pusat,3650000,16.0,0.6948605533713063,campur,1,1,1,1,1,1,1,1
Kost Eyang Palmerah Jakarta Barat,1700000,9.0,2.3254579738709125,campur,1,0,0,1,1,0,0,1
Kost Ogura Benhil Budget Tanah Abang Jakarta Pusat,3300000,12.5,1.8808890746327245,campur,1,1,1,1,1,0,0,1
Kost Icorner Residence Std Tipe C Tanah Abang Jakarta Pusat,2600000,11.2,0.5798715998918891,campur,1,1,1,1,1,1,1,1
Kost Under The Starfruit Tree Tipe A Kebon Kacang Tanah Abang Jakarta Pusat,4300000,24.0,0.7490293792389683,campur,1,1,0,1,1,1,0,1
Kost Rumah 19 Tipe B Setiabudi Jakarta Selatan,2200000,12.0,1.44055172781421,putri,1,0,0,0,1,1,0,1
Kost 37 1 Tipe D Tanah Abang Jakarta Pusat,2200000,12.0,0.5100699605402017,putri,1,1,0,1,1,1,0,1
Kost Twin Benhil 7 Tanah Abang Jakarta Pusat,1400000,12.0,2.2623987598123403,campur,1,1,0,1,1,1,0,0
Kost City Cabin Tipe Deluxe Tanah Abang Jakarta Pusat,3300000,9.0,2.129851196037225,campur,1,1,1,1,1,0,0,1
Kost Adiraca Jaya Abadi Tanah Abang Jakarta Pusat,1200000,12.0,1.846695263813784,putra,1,0,0,1,1,1,0,0
Kost Rumah 19 Tipe A Setiabudi Jakarta Selatan,2000000,7.5,1.44055172781421,putri,1,0,0,1,1,1,0,1
Kost Kobam Tipe A Palmerah Jakarta Barat,1100000,15.75,1.9965218470847144,putri,1,1,0,0,1,1,0,0
Kost Ika AC Menteng Jakarta Pusat,2000000,9.0,1.989708222765036,putri,1,0,0,1,1,1,0,0
Kost Rumah 19 Tipe 2 Setiabudi Jakarta Selatan,2700000,15.75,1.4405517278270192,putri,1,1,0,1,1,1,0,1
Kost Dina Tanah Abang Jakarta Pusat,750000,9.0,1.6998845088420262,campur,1,0,0,1,1,1,0,0
Kost Cendana 9 Executive 1 Tanah Abang Jakarta Pusat,1600000,4.0,1.391517696884826,putri,1,1,0,1,1,0,0,0
Kost Premiere Residence Tipe Executive Tanah Abang Jakarta Pusat,2700000,9.0,1.0511948771033388,campur,1,1,1,1,1,0,0,1
Kost The One Residence Premier Single Tanah Abang Jakarta Pusat,3500000,12.0,0.9853236076043947,campur,1,1,1,1,1,1,0,0
Kost Karbela Karet Setiabudi Jakarta Selatan,2900000,9.0,2.013080780953915,campur,1,1,1,1,1,0,0,0
Kost Amore Tipe Ac Standard Tanah Abang Jakarta Pusat,2000000,9.0,0.9146772120955228,putri,1,0,0,1,1,0,0,1
Kost Pati 32 Menteng Jakarta Pusat,2800000,10.5,0.5702340847048091,campur,1,1,1,1,1,0,0,1
Kost 37 18 Non Ac Tanah Abang Jakarta Pusat,1900000,12.0,0.5551275735436744,putri,1,1,0,1,1,1,0,1
Kost Win Residence Standard Lantai 1 Tanah Abang Jakarta Pusat,2700000,12.0,0.6259895632883209,campur,1,1,1,1,1,0,0,0
Kost Merlyn Setiabudi Jakarta Selatan,2350000,9.0,1.484547694848107,campur,1,1,1,1,1,0,0,1
Kost DE Lorre Setiabudi Jakarta Selatan,2300000,9.0,2.1630034796087783,putri,1,1,0,1,1,0,0,0
Kost Tino Cikini Standard Double Menteng Jakarta Pusat,3350000,9.0,1.9490581714574653,campur,1,1,1,1,1,0,0,1
Kost Elju Deluxe Palmerah Jakarta Barat,2500000,8.88,2.900464225635437,campur,1,1,0,1,1,0,1,1
Kost Rubi Tipe AC Tanah Abang Jakarta Pusat,1800000,9.0,0.8753699914198243,campur,1,1,0,1,1,1,0,1
Kost Anggrek Tipe D Setiabudi Jakarta Selatan,1650000,12.0,2.1798076576676246,putri,1,1,0,1,1,1,0,0
Kost Menteng Guest House Single Bed Menteng Jakarta Pusat,3750000,13.5,1.4801727940824614,campur,1,1,1,1,1,1,1,1
Kost Ceniza Kebon Kacang Tipe A Tanah Abang Jakarta Pusat,1400000,9.0,0.518080293334019,putri,1,1,0,1,1,1,0,0
Kost Zhafira Tipe C Senen Jakarta Pusat,1400000,12.0,2.579311060392916,campur,1,1,0,1,1,0,0,1
Kost Bu Nunung Tanah Abang Jakarta Pusat,850000,9.0,2.037107099917253,putra,1,0,0,0,1,1,0,0
Kost Wisma Cemara 1 Palmerah Jakarta Barat,1700000,12.0,2.37689813606018,putri,1,1,1,1,1,0,0,1
Kost Toma Haus Tipe 2 Setiabudi Jakarta Selatan,1800000,7.5,2.049954336792416,putri,1,0,0,1,1,1,1,0
Kost Aurora Tipe A Tanah Abang Jakarta Pusat,2600000,12.0,2.247198031082972,campur,1,1,1,1,1,0,0,1
Kost Eleven Garden Tipe A Tanah Abang Jakarta Pusat,2000000,12.0,0.9277679700242566,campur,1,1,0,1,1,0,0,0
Kost Anggrek 3 Tipe Vip Setiabudi Jakarta Selatan,2800000,15.0,1.4707486568792685,campur,1,1,1,1,1,0,0,1
Kost Rumah 19 B4 Setiabudi Jakarta Selatan,2200000,12.0,1.4405517278270192,putri,1,0,0,0,1,1,0,1
Kost Karbela Raya 3 Tipe Ac Setiabudi Jakarta Selatan,2100000,20.0,2.096376964589895,campur,1,0,0,1,1,1,0,1
